top - 15:10:23 up 27 days, 12:51,  1 user,  load average: 8.91, 8.91, 9.00
Threads: 695 total,  12 running, 683 sleeping,   0 stopped,   0 zombie
%Cpu(s):  7.6 us,  0.7 sy,  0.0 ni, 91.4 id,  0.0 wa,  0.0 hi,  0.4 si,  0.0 st
KiB Mem : 26403688+total, 13389056+free, 46825504 used, 83320816 buff/cache
KiB Swap:  5996540 total,  5996540 free,        0 used. 21317566+avail Mem 

   PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
  9311 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:31.41 java
  9312 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.24 java
  9313 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:34.75 java
  9314 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.24 java
  9315 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:33.57 java
  9316 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.24 java
  9317 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:32.21 java
  9318 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.24 java
  9319 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:38.34 java
  9320 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.25 java
  9322 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:36.14 java
  9324 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.24 java
  9451 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:09.19 java
 22424 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:06.42 java
 25362 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  23:40.70 java
 28315 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   2:52.70 java
 28317 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   2:51.34 java
 28342 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   2:52.38 java
 40559 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  22:53.30 java
 40572 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   9:32.77 java
 40582 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   8:10.04 java
